Chunk_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
595,25,442,52938.00,56096.00,True,True
596,25,449,55737.80,56995.60,True,True
597,25,442,54240.30,54518.70,True,True
598,25,449,53686.90,55723.90,True,True
599,25,447,55231.80,54771.10,True,True
600,25,449,55104.30,56057.90,True,True
601,25,444,54167.90,54793.30,True,True
602,25,448,57514.70,54608.80,True,True
603,25,444,55870.80,55860.70,True,True
604,25,448,55093.90,54701.20,True,True
605,25,442,55385.50,55240.80,True,True
606,25,449,54413.20,57500.50,True,True
607,25,441,57721.10,55224.50,True,True
608,25,448,57698.90,57994.00,True,True
609,25,441,57237.90,58822.20,True,True
610,25,478,56042.90,57335.80,True,True
611,25,453,56906.00,57625.60,True,True
612,25,448,52650.30,56654.50,True,True
613,25,444,57777.70,53583.30,True,True
614,25,448,57873.70,53800.40,True,True
615,25,441,53123.90,54928.70,True,True
616,25,451,56760.60,55606.50,True,True
617,25,442,55868.90,53664.20,True,True
618,25,448,56661.30,57464.20,True,True
619,25,442,54088.60,56117.10,True,True
620,25,448,54585.80,56370.50,True,True
621,25,442,56680.90,55931.20,True,True
622,25,449,54204.50,54612.50,True,True
623,25,442,55759.80,54214.50,True,True
624,25,448,53626.00,56342.30,True,True
625,25,455,54243.70,53879.00,True,True
626,25,451,57030.50,53364.50,True,True
627,25,442,61567.60,55470.00,True,True
628,25,448,54601.30,54360.40,True,True
629,25,455,57131.90,57367.90,True,True
630,25,447,55422.60,54842.90,True,True
631,25,442,55429.40,57909.50,True,True
632,25,448,57322.10,58774.70,True,True
633,25,481,54564.50,57265.30,True,True
634,25,452,56039.90,57768.40,True,True
635,25,441,54031.00,52869.20,True,True
636,25,492,53711.50,56687.30,True,True
637,25,442,56052.60,54581.80,True,True
638,25,458,56090.30,53601.60,True,True
639,25,442,57157.20,54549.70,True,True
640,25,448,54009.60,56694.90,True,True
641,25,440,57105.00,55959.00,True,True
642,25,448,54932.60,58621.20,True,True
643,25,442,54477.20,54667.00,True,True
644,25,449,55181.80,54956.70,True,True
645,25,442,55889.80,55558.50,True,True
646,25,448,54166.90,56618.20,True,True
647,25,442,53114.10,56310.80,True,True
648,25,447,56954.90,56494.70,True,True
649,25,454,53441.40,58169.70,True,True
650,25,449,57005.20,56645.20,True,True
651,25,442,55031.30,57239.90,True,True
652,25,448,53496.20,53310.70,True,True
653,25,442,53235.80,52444.80,True,True
654,25,449,59488.00,55838.40,True,True
655,25,442,57820.10,55531.90,True,True
656,25,449,54420.60,54786.10,True,True
657,25,453,56248.60,54147.00,True,True
658,25,448,54155.00,56721.70,True,True
659,25,442,59958.00,57684.80,True,True
660,25,448,56653.00,55645.70,True,True
661,25,442,56994.70,54855.50,True,True
662,25,448,55143.70,54677.80,True,True
663,25,442,55116.10,54220.40,True,True
664,25,527,54963.30,55526.30,True,True
665,25,442,55346.90,56183.80,True,True
666,25,452,54448.70,57556.90,True,True
667,25,443,55224.00,55668.00,True,True
668,25,448,55694.30,55725.10,True,True
669,25,444,52996.30,54747.30,True,True
670,25,449,53706.90,55223.60,True,True
671,25,452,55007.20,53744.10,True,True
672,25,450,55466.30,55341.60,True,True
673,25,442,55656.30,56043.60,True,True
674,25,450,55542.20,58133.90,True,True
675,25,443,53259.10,57109.80,True,True
676,25,453,55671.50,54137.00,True,True
677,25,442,55985.60,55191.50,True,True
678,25,448,54899.00,53958.20,True,True
679,25,443,56115.10,56227.70,True,True
680,25,451,55656.70,57224.30,True,True
681,25,441,56248.30,55660.90,True,True
682,25,492,57513.10,54840.30,True,True
683,25,442,53384.20,56012.80,True,True
684,25,449,54555.40,57742.60,True,True
685,25,444,54009.40,55570.10,True,True
686,25,447,54216.50,53810.30,True,True
